,Model name,Population,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall,FPR,FNR,TNR,check_Pos2,check_Neg2,LR+,LR-,DOR,F1,FBeta,MCC,BM,MK,FM,PT,TS,BA,Ham,Jac(TS),AUC,Image pre-processing(s),ROI-M(s),OFC(s),GAN(s),CVSC time(s),Total time(s)
108,"CVSC MOG2 ('C', 'D', 'T')",40.0,17.0,16.0,4.0,3.0,0.5,0.825,0.8095,0.8421,0.1905,0.1579,1.0,1.0,0.85,0.2,0.15,0.8,1.0,1.0,4.25,0.1875,22.6667,0.8293,0.8198,0.6508,0.6499999999999999,0.6516,0.8295,0.3266,0.7083,0.825,0.175,0.7083,0.825,2.009928846359253,27.771940648555756,0.20900993943214416,7.510306000709534,55.07405699491501,57.08398584127426
109,"CVSC FMT ('C', 'O', 'D', 'B', 'T')",40.0,13.0,19.0,1.0,7.0,0.5,0.8,0.9286,0.7308,0.0714,0.2692,1.0,1.0,0.65,0.05,0.35,0.95,1.0,1.0,13.0,0.3684,35.2877,0.7647,0.834,0.629,0.6000000000000001,0.6594,0.7769,0.2171,0.619,0.8,0.2,0.619,0.8,2.907712680101395,20.707104921340942,0.06762292385101318,4.545017194747925,68.4916761636734,71.3993888437748
110,"CVSC1 ('C', 'B')",40.0,13.0,16.0,4.0,7.0,0.5,0.725,0.7647,0.6957,0.2353,0.3043,1.0,1.0,0.65,0.2,0.35,0.8,1.0,1.0,3.25,0.4375,7.4286,0.7027,0.7306,0.4551,0.4500000000000002,0.4603999999999999,0.705,0.3568,0.5417,0.725,0.275,0.5417,0.725,1.0644973814487457,42.57633951306343,0.16132718324661255,4.929062640666961,93.39307116270065,94.4575685441494
111,"CVSC CNT2 ('O', 'B', 'T')",40.0,1.0,19.0,1.0,19.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.05,0.05,0.95,0.95,1.0,1.0,1.0,1.0,1.0,0.0909,0.1478,0.0,0.0,0.0,0.1581,0.5,0.0476,0.5,0.5,0.0476,0.5,0.7826158702373505,2.1970565795898436,0.019790762662887575,0.8249216496944427,38.551950711011884,39.334566581249234
112,"CVSC1 ('C', 'O', 'D', 'B')",40.0,11.0,17.0,3.0,9.0,0.5,0.7,0.7857,0.6538,0.2143,0.3462,1.0,1.0,0.55,0.15,0.45,0.85,1.0,1.0,3.6667,0.5294,6.9261,0.6471,0.7057,0.4193,0.3999999999999999,0.4395,0.6574,0.3431,0.4783,0.7,0.3,0.4783,0.7,1.0611506819725036,42.22763162255287,0.14232105612754822,3.332106816768646,86.2905892431736,87.3517399251461
113,"CVSC1 ('C', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.7611111342906952,0.0,0.0,0.0,34.5278024494648,35.288913583755495
114,CVSC CNT2 0,40.0,19.0,14.0,6.0,1.0,0.5,0.825,0.76,0.9333,0.24,0.0667,1.0,1.0,0.95,0.3,0.05,0.7,1.0,1.0,3.1667,0.0714,44.3515,0.8444,0.8025,0.6713,0.6499999999999999,0.6933,0.8497,0.3598,0.7308,0.825,0.175,0.7308,0.825,1.1076258361339568,59.058786356449126,0.22257972955703736,5.291098701953888,98.4760133087635,99.58363914489746
115,"CVSC CNT2 ('O', 'D', 'T')",40.0,2.0,20.0,0.0,18.0,0.5,0.55,1.0,0.5263,0.0,0.4737,1.0,1.0,0.1,0.0,0.9,1.0,1.0,1.0,inf,0.9,inf,0.1818,0.2957,0.2294,0.10000000000000009,0.5263,0.3162,0.0,0.1,0.55,0.45,0.1,0.55,0.6959928393363952,1.74920454621315,0.013781946897506715,0.7276265680789947,34.2995634496212,34.995556288957594
116,"CVSC FMT ('O', 'D')",40.0,16.0,12.0,8.0,4.0,0.5,0.7,0.6667,0.75,0.3333,0.25,1.0,1.0,0.8,0.4,0.2,0.6,1.0,1.0,2.0,0.3333,6.0006,0.7273,0.6975,0.4082,0.3999999999999999,0.41670000000000007,0.7303,0.4142,0.5714,0.7,0.3,0.5714,0.7,2.528958058357239,44.007884830236435,0.32797752022743226,6.424640029668808,86.95513172745704,89.48408978581429
117,"CVSC CNT2 ('O', 'D', 'B')",40.0,15.0,16.0,4.0,5.0,0.5,0.775,0.7895,0.7619,0.2105,0.2381,1.0,1.0,0.75,0.2,0.25,0.8,1.0,1.0,3.75,0.3125,12.0,0.7692,0.7786,0.5507,0.55,0.5514000000000001,0.7695,0.3405,0.625,0.775,0.225,0.625,0.775,0.8899168312549591,30.323502594232558,0.11683934926986694,6.555285340547561,71.89664089679718,72.78655772805214
118,"CVSC MOG2 ('O', 'D', 'B')",40.0,11.0,20.0,0.0,9.0,0.5,0.775,1.0,0.6897,0.0,0.3103,1.0,1.0,0.55,0.0,0.45,1.0,1.0,1.0,inf,0.45,inf,0.7097,0.822,0.6159,0.55,0.6897,0.7416,0.0,0.55,0.775,0.225,0.55,0.775,1.7153442442417144,11.098908263444901,0.06580702662467956,4.501455599069596,38.92929400801658,40.644638252258304
119,"CVSC MOG2 ('O', 'B', 'T')",40.0,7.0,20.0,0.0,13.0,0.5,0.675,1.0,0.6061,0.0,0.3939,1.0,1.0,0.35,0.0,0.65,1.0,1.0,1.0,inf,0.65,inf,0.5185,0.6704,0.4606,0.3500000000000001,0.6061000000000001,0.5916,0.0,0.35,0.675,0.325,0.35,0.675,0.9686827421188354,6.582793217897415,0.014314937591552734,1.0152781307697296,30.044182646274567,31.0128653883934
120,"CVSC MOG2 ('O', 'D')",40.0,9.0,20.0,0.0,11.0,0.5,0.725,1.0,0.6452,0.0,0.3548,1.0,1.0,0.45,0.0,0.55,1.0,1.0,1.0,inf,0.55,inf,0.6207,0.7556,0.5388,0.44999999999999996,0.6452,0.6708,0.0,0.45,0.725,0.275,0.45,0.725,1.0983715116977693,8.403465628623962,0.05561966300010681,2.5486548244953156,33.43139299750328,34.52976450920105
121,"CVSC MOG2 ('C', 'O', 'D', 'B')",40.0,16.0,18.0,2.0,4.0,0.5,0.85,0.8889,0.8182,0.1111,0.1818,1.0,1.0,0.8,0.1,0.2,0.9,1.0,1.0,8.0,0.2222,36.0036,0.8421,0.8635,0.7035,0.7000000000000002,0.7071000000000001,0.8433,0.2612,0.7273,0.85,0.15,0.7273,0.85,1.4439894795417785,22.348496305942536,0.084718519449234,3.8589854001998902,50.25078213214874,51.69477161169052
122,"CVSC MOG2 ('C', 'D', 'B', 'T')",40.0,18.0,17.0,3.0,2.0,0.5,0.875,0.8571,0.8947,0.1429,0.1053,1.0,1.0,0.9,0.15,0.1,0.85,1.0,1.0,6.0,0.1176,51.0204,0.878,0.8681,0.7509,0.75,0.7518,0.8783,0.2899,0.7826,0.875,0.125,0.7826,0.875,2.145774006843567,28.64226363301277,0.2540194451808929,8.22577781677246,62.03891166448593,64.1846856713295
123,"CVSC CNT2 ('D', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.7894900858402252,0.0,0.0,0.0,29.039125287532805,29.828615373373033
124,"CVSC MOG2 ('C', 'B', 'T')",40.0,14.0,17.0,3.0,6.0,0.5,0.775,0.8235,0.7391,0.1765,0.2609,1.0,1.0,0.7,0.15,0.3,0.85,1.0,1.0,4.6667,0.3529,13.2239,0.7567,0.7868,0.5563,0.5499999999999998,0.5626,0.7592,0.3164,0.6087,0.775,0.225,0.6087,0.775,1.9505658209323884,21.729905807971953,0.1285538673400879,7.320071661472321,55.70745415687561,57.658019977807996
125,"CVSC MOG2 ('D',)",40.0,17.0,16.0,4.0,3.0,0.5,0.825,0.8095,0.8421,0.1905,0.1579,1.0,1.0,0.85,0.2,0.15,0.8,1.0,1.0,4.25,0.1875,22.6667,0.8293,0.8198,0.6508,0.6499999999999999,0.6516,0.8295,0.3266,0.7083,0.825,0.175,0.7083,0.825,1.0403428375720978,25.581885945796966,0.15319313406944274,3.897059202194214,46.79306682944298,47.833409667015076
126,"CVSC1 ('B',)",40.0,12.0,14.0,6.0,8.0,0.5,0.65,0.6667,0.6364,0.3333,0.3636,1.0,1.0,0.6,0.3,0.4,0.7,1.0,1.0,2.0,0.5714,3.5002,0.6316,0.6476,0.3015,0.2999999999999998,0.3030999999999999,0.6325,0.4142,0.4615,0.65,0.35,0.4615,0.65,1.1584701418876648,53.41638980507851,0.2082628130912781,7.52496412396431,106.13532653450966,107.29379667639732
127,"CVSC MOG2 ('D', 'B', 'T')",40.0,16.0,17.0,3.0,4.0,0.5,0.825,0.8421,0.8095,0.1579,0.1905,1.0,1.0,0.8,0.15,0.2,0.85,1.0,1.0,5.3333,0.2353,22.666,0.8205,0.8305,0.6508,0.6499999999999999,0.6516,0.8208,0.3022,0.6957,0.825,0.175,0.6957,0.825,1.5303889572620393,22.060784143209457,0.12938877940177917,3.2905209183692934,49.320261120796204,50.850650078058244
