,Model name,Population,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall,FPR,FNR,TNR,check_Pos2,check_Neg2,LR+,LR-,DOR,F1,FBeta,MCC,BM,MK,FM,PT,TS,BA,Ham,Jac(TS),AUC,Image pre-processing(s),ROI-M(s),OFC(s),GAN(s),CVSC time(s),Total time(s)
82,"CVSC1 ('T',)",40.0,4.0,20.0,0.0,16.0,0.5,0.6,1.0,0.5556,0.0,0.4444,1.0,1.0,0.2,0.0,0.8,1.0,1.0,1.0,inf,0.8,inf,0.3333,0.4857,0.3333,0.19999999999999996,0.5556000000000001,0.4472,0.0,0.2,0.6,0.4,0.2,0.6,0.8441136837005615,3.402861076593399,0.02160927653312683,1.3484201788902284,38.64720241427422,39.491316097974774
83,"CVSC CNT2 ('C', 'D', 'B')",40.0,16.0,14.0,6.0,4.0,0.5,0.75,0.7273,0.7778,0.2727,0.2222,1.0,1.0,0.8,0.3,0.2,0.7,1.0,1.0,2.6667,0.2857,9.3339,0.7619,0.7452,0.5025,0.5,0.5051000000000001,0.7628,0.3798,0.6154,0.75,0.25,0.6154,0.75,0.8098669409751892,36.93663502931595,0.11506719589233398,6.092877686023712,70.29071146249771,71.1005784034729
84,"CVSC FMT ('C', 'B', 'T')",40.0,16.0,19.0,1.0,4.0,0.5,0.875,0.9412,0.8261,0.0588,0.1739,1.0,1.0,0.8,0.05,0.2,0.95,1.0,1.0,16.0,0.2105,76.0095,0.8649,0.8992,0.7586,0.75,0.7673000000000001,0.8677,0.2,0.7619,0.875,0.125,0.7619,0.875,2.346684831380844,22.448049819469453,0.09247891306877136,5.80870880484581,58.223665076494214,60.57034990787506
85,"CVSC MOG2 ('O', 'D', 'B', 'T')",40.0,11.0,20.0,0.0,9.0,0.5,0.775,1.0,0.6897,0.0,0.3103,1.0,1.0,0.55,0.0,0.45,1.0,1.0,1.0,inf,0.45,inf,0.7097,0.822,0.6159,0.55,0.6897,0.7416,0.0,0.55,0.775,0.225,0.55,0.775,1.0187435507774354,10.151217710971832,0.04131968021392822,1.3849588871002196,31.52666494846344,32.54540849924088
86,"CVSC1 ('O', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.643557333946228,0.0,0.0,0.0,31.060483831167222,31.70404116511345
87,"CVSC MOG2 ('C', 'O', 'B')",40.0,13.0,18.0,2.0,7.0,0.5,0.775,0.8667,0.72,0.1333,0.28,1.0,1.0,0.65,0.1,0.35,0.9,1.0,1.0,6.5,0.3889,16.7138,0.7429,0.7964,0.568,0.55,0.5867,0.7506,0.2817,0.5909,0.775,0.225,0.5909,0.775,1.60886852145195,16.133144390583038,0.0604878306388855,4.583074158430099,43.1855044901371,44.79437301158905
88,"CVSC FMT ('D',)",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,3.798679941892624,52.042021822929385,0.9124480009078979,7.429413992166519,108.13724242448806,111.9359223663807
89,"CVSC1 ('C', 'O', 'D', 'T')",40.0,1.0,20.0,0.0,19.0,0.5,0.525,1.0,0.5128,0.0,0.4872,1.0,1.0,0.05,0.0,0.95,1.0,1.0,1.0,inf,0.95,inf,0.0952,0.1659,0.1601,0.050000000000000044,0.5127999999999999,0.2236,0.0,0.05,0.525,0.475,0.05,0.525,0.5881691753864289,0.698985469341278,0.0020712614059448242,0.142544025182724,26.094991797208785,26.683160972595214
90,"CVSC CNT2 ('C', 'O', 'D', 'B')",40.0,14.0,17.0,3.0,6.0,0.5,0.775,0.8235,0.7391,0.1765,0.2609,1.0,1.0,0.7,0.15,0.3,0.85,1.0,1.0,4.6667,0.3529,13.2239,0.7567,0.7868,0.5563,0.5499999999999998,0.5626,0.7592,0.3164,0.6087,0.775,0.225,0.6087,0.775,0.9814398348331451,24.057923203706743,0.12340174317359924,6.586615979671478,69.42076199650765,70.40220183134079
91,"CVSC MOG2 ('C', 'O', 'D', 'T')",40.0,16.0,18.0,2.0,4.0,0.5,0.85,0.8889,0.8182,0.1111,0.1818,1.0,1.0,0.8,0.1,0.2,0.9,1.0,1.0,8.0,0.2222,36.0036,0.8421,0.8635,0.7035,0.7000000000000002,0.7071000000000001,0.8433,0.2612,0.7273,0.85,0.15,0.7273,0.85,1.357192486524582,23.6570214509964,0.07373591661453247,4.614466679096222,50.19297416806221,51.55016665458679
92,"CVSC MOG2 ('O',)",40.0,6.0,20.0,0.0,14.0,0.5,0.65,1.0,0.5882,0.0,0.4118,1.0,1.0,0.3,0.0,0.7,1.0,1.0,1.0,inf,0.7,inf,0.4615,0.6182,0.4201,0.30000000000000004,0.5882000000000001,0.5477,0.0,0.3,0.65,0.35,0.3,0.65,0.7044993102550506,5.927503705024719,0.011721056699752808,0.8887494266033172,29.868033999204634,30.572533309459686
93,"CVSC CNT2 ('O', 'D', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.9503443539142609,0.0,0.0,0.0,31.148128509521484,32.098472863435745
94,"CVSC MOG2 ('O', 'D', 'T')",40.0,9.0,20.0,0.0,11.0,0.5,0.725,1.0,0.6452,0.0,0.3548,1.0,1.0,0.45,0.0,0.55,1.0,1.0,1.0,inf,0.55,inf,0.6207,0.7556,0.5388,0.44999999999999996,0.6452,0.6708,0.0,0.45,0.725,0.275,0.45,0.725,1.1236287117004395,8.140259248018264,0.044126111268997195,1.358385556936264,30.993318170309067,32.11694688200951
95,"CVSC FMT ('O', 'B', 'T')",40.0,10.0,20.0,0.0,10.0,0.5,0.75,1.0,0.6667,0.0,0.3333,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,inf,0.5,inf,0.6667,0.7907,0.5774,0.5,0.6667000000000001,0.7071,0.0,0.5,0.75,0.25,0.5,0.75,3.7626473128795626,13.310554039478301,0.10875480771064758,5.486638081073761,50.94828653931618,54.71093385219574
96,"CVSC CNT2 ('C', 'B')",40.0,16.0,16.0,4.0,4.0,0.5,0.8,0.8,0.8,0.2,0.2,1.0,1.0,0.8,0.2,0.2,0.8,1.0,1.0,4.0,0.25,16.0,0.8,0.8,0.6,0.6000000000000001,0.6000000000000001,0.8,0.3333,0.6667,0.8,0.2,0.6667,0.8,0.8629017293453216,38.95616000890732,0.09145740866661071,6.580899631977081,78.8872824728489,79.75018420219422
97,"CVSC FMT ('C', 'O')",40.0,14.0,14.0,6.0,6.0,0.5,0.7,0.7,0.7,0.3,0.3,1.0,1.0,0.7,0.3,0.3,0.7,1.0,1.0,2.3333,0.4286,5.444,0.7,0.7,0.4,0.3999999999999999,0.3999999999999999,0.7,0.3956,0.5385,0.7,0.3,0.5385,0.7,3.466602975130081,55.10221462845802,0.6261582255363465,6.5967305362224575,110.28891487121582,113.7555178463459
